neighborhood,geoType,indicator,value,topic,displayTopic,type,format,order,topicOrder
Connecticut,4_state,Total population,3588570,age,Age,table,",",1,1
Greater New Haven,3_region,Total population,464596,age,Age,table,",",1,1
New Haven,2_city,Total population,130405,age,Age,table,",",1,1
Amity,1_neighborhood,Total population,4970,age,Age,table,",",1,1
Annex,1_neighborhood,Total population,6677,age,Age,table,",",1,1
Beaver Hills,1_neighborhood,Total population,5135,age,Age,table,",",1,1
Dixwell,1_neighborhood,Total population,4962,age,Age,table,",",1,1
Downtown,1_neighborhood,Total population,10935,age,Age,table,",",1,1
Dwight,1_neighborhood,Total population,4403,age,Age,table,",",1,1
East Rock,1_neighborhood,Total population,8567,age,Age,table,",",1,1
East Shore,1_neighborhood,Total population,4567,age,Age,table,",",1,1
Edgewood,1_neighborhood,Total population,4391,age,Age,table,",",1,1
Fair Haven,1_neighborhood,Total population,17305,age,Age,table,",",1,1
Fair Haven Heights,1_neighborhood,Total population,6640,age,Age,table,",",1,1
Hill,1_neighborhood,Total population,16220,age,Age,table,",",1,1
Newhallville,1_neighborhood,Total population,5639,age,Age,table,",",1,1
Prospect Hill,1_neighborhood,Total population,4226,age,Age,table,",",1,1
Quinnipiac Meadows,1_neighborhood,Total population,6014,age,Age,table,",",1,1
West River,1_neighborhood,Total population,3527,age,Age,table,",",1,1
West Rock,1_neighborhood,Total population,4415,age,Age,table,",",1,1
Westville,1_neighborhood,Total population,8548,age,Age,table,",",1,1
Wooster Square/Mill River,1_neighborhood,Total population,3264,age,Age,table,",",1,1
Connecticut,4_state,Population under age 18,773652,age,Age,table,",",2,2
Greater New Haven,3_region,Population under age 18,94327,age,Age,table,",",2,2
New Haven,2_city,Population under age 18,28682,age,Age,table,",",2,2
Amity,1_neighborhood,Population under age 18,1327,age,Age,table,",",2,2
Annex,1_neighborhood,Population under age 18,1557,age,Age,table,",",2,2
Beaver Hills,1_neighborhood,Population under age 18,1443,age,Age,table,",",2,2
Dixwell,1_neighborhood,Population under age 18,1034,age,Age,table,",",2,2
Downtown,1_neighborhood,Population under age 18,378,age,Age,table,",",2,2
Dwight,1_neighborhood,Population under age 18,915,age,Age,table,",",2,2
East Rock,1_neighborhood,Population under age 18,1205,age,Age,table,",",2,2
East Shore,1_neighborhood,Population under age 18,956,age,Age,table,",",2,2
Edgewood,1_neighborhood,Population under age 18,1092,age,Age,table,",",2,2
Fair Haven,1_neighborhood,Population under age 18,5094,age,Age,table,",",2,2
Fair Haven Heights,1_neighborhood,Population under age 18,1126,age,Age,table,",",2,2
Hill,1_neighborhood,Population under age 18,4967,age,Age,table,",",2,2
Newhallville,1_neighborhood,Population under age 18,1624,age,Age,table,",",2,2
Prospect Hill,1_neighborhood,Population under age 18,998,age,Age,table,",",2,2
Quinnipiac Meadows,1_neighborhood,Population under age 18,1294,age,Age,table,",",2,2
West River,1_neighborhood,Population under age 18,831,age,Age,table,",",2,2
West Rock,1_neighborhood,Population under age 18,707,age,Age,table,",",2,2
Westville,1_neighborhood,Population under age 18,1663,age,Age,table,",",2,2
Wooster Square/Mill River,1_neighborhood,Population under age 18,471,age,Age,table,",",2,2
